2021-02-01 00:14:37,793 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:38,465 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/ugrad/courses/listing.php?year=2016&level=Graduate&department=STATS&program=ALL, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:39,154 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~dgillen, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:39,798 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/gillen-furthers-healthcare-research-with-two-nih-grants, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:40,449 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ucis-data-science-program-ranked-18th-in-nation-by-bcss, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:41,095 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-department-welcomes-two-new-faculty-for-2017, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:41,747 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-uci-neurobiologists-aim-to-identify-biomarkers-for-alzheimers-disease-dan-gillen-mentioned, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:42,390 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/new-faculty-spotlight-statistics-professor-bin-nan-welcomes-collaboration, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:43,039 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/alexandra-peterson-named-outstanding-ta-in-statistics, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:43,680 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/zhu-wins-2017-newcomb-graduate-award-in-statistics, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:14:44,313 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-well-represented-at-women-in-statistics-data-science-conference, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:47:44,503 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:47:45,157 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/news, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:47:45,870 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/oc_covid_model, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:47:46,588 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/oc_covid_model/index.html, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:47:47,275 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ics-statistics-researchers-release-new-online-oc-covid-situation-report, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:47:47,925 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-statisticians-release-new-online-orange-county-covid-19-information-resource, status <200>, using cache ('styx.ics.uci.edu', 9003).
2021-02-01 00:47:48,740 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/covid19/index.html, status <200>, using cache ('styx.ics.uci.edu', 9003).
